benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTONoGlobalDCE	189961125945	199143260000	4475674000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	179680868681	184014221000	5573512000
Uber_zap	LLGoNoLTO	175695086816	166260047000	11771209000
K8s_workqueue	LLGoFullLTONoGlobalDCE	157290051950	163900064000	5113264000
Aws_restjson	LLGoFullLTOGlobalDCE	147449404163	156156600000	3182583000
K8s_workqueue	LLGoFullLTOGlobalDCE	129199609263	134651246000	3245895000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	115626572003	129241289000	2853662000
Uber_zap	LLGoFullLTONoGlobalDCE	110246274862	120055353000	2757670000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	107112166389	108081252000	2928327000
Uber_zap	LLGoFullLTOGlobalDCE	98347217663	104554336000	2878046000
Toml	LLGoFullLTONoGlobalDCE	85348292019	80713832000	1790762000
Dustin_humanize	LLGoFullLTOGlobalDCE	75534435374	72481153000	3290267000
Dustin_humanize	LLGoFullLTONoGlobalDCE	74805069823	69581946000	1594552000
Gorm_schema	LLGoFullLTONoGlobalDCE	70953940419	75038098000	1866824000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	65679296508	67025397000	1988510000
Gorm_schema	LLGoFullLTOGlobalDCE	64005582510	68901008000	1965247000
Aws_restjson	LLGoNoLTO	61733623485	74620820000	3701945000
Toml	LLGoFullLTOGlobalDCE	52943209629	56700024000	1829360000
Gorm_schema	LLGoNoLTO	45365155798	45810065000	2660848000
K8s_workqueue	LLGoNoLTO	43054953370	43186816000	3028897000
Toml	LLGoFullLTOGlobalDCEPlugin	40609529656	45849564000	1437154000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	28166209031	32583988000	1231630000
Toml	LLGoNoLTO	14499094916	19699629000	1482124000
Dustin_humanize	LLGoNoLTO	14110305437	14821296000	1358239000
Aws_restjson	Go	1159902559	901954000	137992000
K8s_workqueue	Go	917911897	778949000	150130000
Toml	Go	842083269	565372000	105663000
Uber_zap	Go	821860162	682863000	131718000
Dustin_humanize	Go	563138351	404720000	77811000
Gorm_schema	Go	358263528	588334000	117912000
